plot_type,n_variants,n_samples,n_values,dpi,average_mem,average_peak_mem,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,peak_memory_0,peak_memory_1,peak_memory_2,peak_memory_3,peak_memory_4,peak_memory_5,peak_memory_6,peak_memory_7,peak_memory_8,peak_memory_9
imshow,50,1000,50000,100,10436912.0,15430174.1,10471987,10303781,10471489,10467942,10466670,10474116,10310881,10469333,10466556,10466365,15464836,15296715,15464649,15461837,15460236,15466909,15303622,15462705,15460655,15459577
pcolorfast,50,1000,50000,150,10439355.0,15434192.0,10462519,10469977,10476210,10477344,10322626,10466894,10467574,10466695,10475485,10308226,15457520,15464879,15470764,15471799,15317642,15461770,15463090,15461558,15469899,15302999
pcolormesh,50,1000,50000,150,50528251.4,140700595.5,50557151,50558858,50563223,50563841,50396712,50560638,50559004,50562233,50564814,50396040,140730331,140731359,140735497,140735827,140569213,140732905,140731268,140734558,140736683,140568314
matshow,50,1000,50000,150,10437580.8,15430975.8,10469265,10466950,10473135,10475182,10303851,10468237,10471355,10468175,10474460,10305198,15462496,15461313,15466592,15468232,15297113,15461880,15465403,15461533,15467104,15298092
imshow,50,1000,50000,150,10437612.1,15430918.8,10472267,10466586,10466748,10473727,10308949,10467067,10465542,10468063,10482705,10304467,15465695,15460516,15460256,15466314,15302162,15460263,15459480,15461447,15475373,15297682
pcolorfast,50,1000,50000,200,10439072.9,15434042.9,10470256,10470891,10316551,10468910,10469556,10477203,10476598,10307442,10466150,10467172,15465156,15466249,15311520,15463815,15464995,15471650,15471004,15302337,15460857,15462846
pcolormesh,50,1000,50000,200,50529698.7,140701999.9,50560144,50568099,50401238,50559911,50558304,50560787,50567170,50401489,50559751,50560094,140732466,140740016,140573619,140732274,140730666,140733229,140739138,140574012,140732114,140732465
matshow,50,1000,50000,200,10437463.8,15430797.7,10467912,10479535,10302733,10467693,10467881,10471372,10474402,10303515,10468037,10471558,15461449,15472444,15295925,15460610,15461955,15464788,15467187,15296535,15461263,15465821
imshow,50,1000,50000,200,10436828.5,15430118.4,10467714,10473371,10303367,10473376,10466740,10466982,10473483,10307088,10469022,10467142,15461118,15466156,15296181,15466635,15460908,15460369,15466268,15299994,15462275,15461280
pcolorfast,50,10000,500000,50,10440605.7,15435390.4,10477580,10304978,10470772,10475375,10475905,10321195,10468357,10467517,10468294,10476084,15472046,15299947,15465646,15469792,15470303,15316127,15463116,15463118,15463252,15470557
pcolormesh,50,10000,500000,50,50529281.6,140701610.8,50401293,50560430,50559384,50563127,50563447,50395414,50558146,50559060,50564839,50567676,140573763,140733445,140731804,140735435,140735222,140567860,140730411,140731419,140737207,140739542
matshow,50,10000,500000,50,10437759.1,15431186.0,10306551,10467267,10466137,10472689,10475981,10305398,10467579,10471819,10468574,10475596,15299860,15460427,15460521,15466282,15468924,15298582,15460839,15466280,15461770,15468375
imshow,50,10000,500000,50,10437585.6,15430792.5,10304937,10471102,10465147,10466051,10473557,10309468,10468587,10467414,10466917,10482676,15297954,15464244,15458986,15459441,15466202,15302143,15462181,15461193,15460316,15475265
pcolorfast,50,10000,500000,100,10439271.1,15434285.2,10467969,10469385,10477051,10315251,10470263,10470093,10467961,10475688,10311742,10467308,15462871,15465147,15471505,15310410,15465216,15465644,15463022,15470190,15306645,15462202
pcolormesh,50,10000,500000,100,50528690.6,140701032.3,50560253,50560020,50565462,50403659,50556785,50559257,50558409,50564067,50400148,50558846,140732729,140732430,140737390,140576046,140729916,140731527,140730715,140735935,140572410,140731225
matshow,50,10000,500000,100,10436552.2,15429884.7,10466814,10466747,10477393,10303253,10466878,10467541,10472880,10473885,10302980,10467151,15460887,15460017,15470090,15296517,15460048,15461982,15466180,15466567,15296389,15460170
