plot_type,n_variants,n_samples,n_values,dpi,average,cycle_0,cycle_1,cycle_2,cycle_3,cycle_4,cycle_5,cycle_6,cycle_7,cycle_8,cycle_9
imshow,500,100,50000,100,0.007601523399353027,0.00900578498840332,0.010008573532104492,0.006997823715209961,0.007999658584594727,0.005987644195556641,0.007021903991699219,0.00699162483215332,0.007001399993896484,0.008001089096069336,0.0069997310638427734
pcolorfast,500,100,50000,150,0.007401514053344727,0.00701594352722168,0.007000923156738281,0.007998943328857422,0.007001638412475586,0.008002281188964844,0.007009983062744141,0.007991313934326172,0.006995439529418945,0.0069828033447265625,0.008015871047973633
pcolormesh,500,100,50000,150,0.010098433494567871,0.010983705520629883,0.010001420974731445,0.009998083114624023,0.009002447128295898,0.00899815559387207,0.010001897811889648,0.011999368667602539,0.009998798370361328,0.011001110076904297,0.008999347686767578
matshow,500,100,50000,150,0.007503128051757813,0.00800013542175293,0.007999658584594727,0.008000612258911133,0.006999969482421875,0.007003307342529297,0.00699615478515625,0.008001327514648438,0.0069980621337890625,0.007001638412475586,0.008030414581298828
imshow,500,100,50000,150,0.008896875381469726,0.00697016716003418,0.007997512817382812,0.0060007572174072266,0.0070002079010009766,0.006999969482421875,0.00700068473815918,0.028002500534057617,0.0059969425201416016,0.00599980354309082,0.0070002079010009766
pcolorfast,500,100,50000,200,0.006799936294555664,0.005999088287353516,0.007000446319580078,0.005999088287353516,0.007000446319580078,0.007000446319580078,0.006999015808105469,0.00700068473815918,0.00700068473815918,0.005999088287353516,0.008000373840332031
pcolormesh,500,100,50000,200,0.009399819374084472,0.008998870849609375,0.009000301361083984,0.008999824523925781,0.00900125503540039,0.010998010635375977,0.009001493453979492,0.009000778198242188,0.00899958610534668,0.009000301361083984,0.010997772216796875
matshow,500,100,50000,200,0.007100391387939453,0.0070018768310546875,0.006999969482421875,0.006998777389526367,0.007001161575317383,0.006999492645263672,0.0070002079010009766,0.0070002079010009766,0.0070002079010009766,0.006999492645263672,0.008002519607543945
imshow,500,100,50000,200,0.006799888610839844,0.0059969425201416016,0.00700068473815918,0.007000446319580078,0.005999088287353516,0.008001327514648438,0.006999015808105469,0.006000041961669922,0.007000446319580078,0.005999326705932617,0.008001565933227539
pcolorfast,500,1000,500000,50,0.00950005054473877,0.007000923156738281,0.007999658584594727,0.007999658584594727,0.007000446319580078,0.008000373840332031,0.0069997310638427734,0.006999492645263672,0.02800130844116211,0.007999181747436523,0.0069997310638427734
